Mon Dec 23 11:56:20 +0000 2019,Firza Afid,fplusams,,0.0,0.0,1.0,0.0,b'RT walhinasional Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat akan\xe2\x80\xa6'
Mon Dec 23 11:56:18 +0000 2019,Firza Afid,fplusams,,0.0,0.0,1.0,0.0,b'RT walhinasional Beban lingkungan Kaltim yg sdh berat ekstraksi sumber daya alam akn bertambah krisis multidimensi perl\xe2\x80\xa6'
Mon Dec 23 11:52:53 +0000 2019,WALHI Nasional,walhinasional,Indonesia,0.0,0.0,1.0,0.0,b'Beban lingkungan Kaltim yg sdh berat ekstraksi sumber daya alam akn bertambah krisis multidimensi oleh\xe2\x80\xa6 https //t.co/H9OTs4CL59'
Mon Dec 23 11:52:50 +0000 2019,WALHI Nasional,walhinasional,Indonesia,0.0,0.0,1.0,0.0,b'Kajian mendalam dokumen resmi pemerintah mengungkap nama politisi nasional lokal diduga kuat\xe2\x80\xa6 https //t.co/9RADJlSrew'
Mon Dec 23 11:51:24 +0000 2019,eko budi setiawan,wawan_echo83,"Tangerang, Indonesia",0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 11:49:14 +0000 2019,errik,errik_irwan,"Semarang, Indonesia",0.0,0.0,1.0,0.0,b'Dandhy_Laksono Merah_Johansyah Padahal diumumin pemenang sayembara IbuKotaBaru \xf0\x9f\x99\x88 https //t.co/mew9mkUhdX'
Mon Dec 23 11:46:02 +0000 2019,zefry,zefry1974,tangerang,0.0,0.0,1.0,0.0,"b""RT SeptianiLisma_ Rimba Nusantara '' Pemenang Sayembara Desain Ibu Kota Negara Oleh Ghesti Saraswati Alumni Fisip UI -- -UTAS -- Ib\xe2\x80\xa6"""
Mon Dec 23 11:42:53 +0000 2019,"khameem, adi nur.",manustresvo,"Bandung, Indonesia",0.0,0.0,1.0,0.0,b'Selamat Semoga pembangunannya lancar sukses jaya dikorupsi amin Sumber WA Grup wkwkwk intinya milikn\xe2\x80\xa6 https //t.co/1h6Ol1Y1nC'
Mon Dec 23 11:36:45 +0000 2019,Orang Gede,Okyadam78,,0.0,0.0,1.0,0.0,b'Antrian tongkang batubara IbuKotaBaru BatuBara KaltimBerdaulat https //t.co/QB8sb5Im2W'
Mon Dec 23 11:36:39 +0000 2019,Soleh Yusrivan,SYusrivan,"Kedawung, Sragen",0.0,0.0,1.0,0.0,b'RT detikcom Mantul Desain Nagara Rimba Nusantara memenangkan sayembara kota negara IKN Kaltim Pemilik desain meng\xe2\x80\xa6'
